"","BILLm3_1rr","SP00_rr","BONDy5_rr","REITs_rr","TBI_rr"
"1990-06-30",1.09351368456263,-4.38660430598006,-1.98378488579465,-4.93351261840349,8.19111826534147
"1990-09-30",0.378447532414761,5.16049353908841,1.33753535014494,-1.82985603318979,1.94022897548495
"1990-12-30",0.336881976712977,-13.9978784452342,0.324495065615427,-17.4079158267322,-0.996540585821115
"1991-03-30",1.2775523805197,4.94401569642777,3.89409614057161,2.37946366923172,-6.07431779416361
"1991-06-30",1.08797322558409,11.9466906873829,1.10948849502464,19.8970686459236,-4.08206736797723
"1991-09-30",0.762110280779904,1.84386651744717,0.408734372303599,0.0166111280551107,5.69788065695076
"1991-12-30",0.629390340534997,2.92524896833593,5.10439190850374,3.18529299778145,-4.61696543754482
"1992-03-30",0.578278929783593,7.02518999444228,4.6934613807661,4.5727786152078,5.51830545426828
"1992-06-30",0.280252091987432,-3.18629388953457,-2.42293377390039,-0.10578038356206,-0.486199610127526
"1992-09-30",0.229443129362306,2.14232715139699,3.53544207626415,1.84264418693267,-1.51352513050395
"1992-12-30",-0.0255332828465349,0.715191723510156,5.11119819231984,5.72885423271403,-13.9739243682532
"1993-03-30",0.168463558708698,4.54906421183328,-2.77165437990456,3.02930456787252,2.22080831158471
"1993-06-30",0.0717976727362846,3.2515685366346,4.17398238755835,18.8705276031049,10.2556412955486
"1993-09-30",0.340005001025112,-0.00297360501892996,1.73264716814474,-3.37384705538417,5.96704394619849
"1993-12-30",-0.020083193666931,2.5779969499804,2.18308662792301,8.1114868593394,-18.2965609129801
"1994-03-30",0.360791237547531,1.07199274658178,-1.41845592645042,-8.17188898825911,9.22990660810968
"1994-06-30",0.28157743399424,-4.23714718306289,-3.07954234681098,2.78098862246736,13.14004559674
"1994-09-30",0.174371049373079,-0.0444363885422128,-2.26404366270634,0.901986372498165,-4.40215656627835
"1994-12-30",0.683324597265145,3.56636947956295,-0.46486722800605,-2.64675530811154,-10.4632167706857
"1995-03-30",0.743326670496103,-0.578815752442186,-0.821363502183292,-0.715646435826933,11.7197973802133
"1995-06-30",0.742083741557042,8.72495866715823,4.13408553303265,-0.983593015079798,0.448048607621528
"1995-09-30",1.0047609594209,8.80210601832516,5.22300192006231,5.21197130740605,2.98543388159333
"1995-12-30",0.90581796370488,6.21091589428184,0.614874211253547,4.05854385100231,1.12260526513722
"1996-03-30",0.549024466685655,5.41867705083785,2.71875560636072,3.17526087499447,-3.19185706411604
"1996-06-30",0.464585671439632,5.64018436282554,-2.44765418395287,1.39265953892949,7.66084658458264
"1996-09-30",0.772876607117023,3.34394997149898,-0.814671967022651,3.77820900498902,1.56320437831707
"1996-12-30",0.51479853107459,1.64234466688153,1.24049660453878,5.47331668189504,4.80109907803347
"1997-03-30",0.771184767290567,7.14117943929891,1.50694012347934,16.6615810808617,-0.25758749039734
"1997-06-30",1.12978734434233,2.74747331688454,-0.794126406399887,0.46399859221351,4.86818600904717
"1997-09-30",0.929939890643539,15.9378026910177,3.20281177577435,4.35427253728564,5.82689081239754
"1997-12-30",0.887007401625528,6.87095241545999,2.64480298381882,10.6323466365332,6.54538733825393
"1998-03-30",1.24942655399334,1.76216210663283,1.84808061985038,1.52596609084892,9.05215101836276
"1998-06-30",1.04824065367106,13.3162373100034,1.37143332492613,-0.796103273906823,2.11151639803766
"1998-09-30",0.890120101945779,3.44396660473061,1.30218411549397,-5.20574079640532,-5.5990475943443
"1998-12-30",0.930047879230056,-15.2938020222503,6.30939404289732,-11.5859207757679,5.89539891190872
"1999-03-30",0.953364873657048,21.9979789372478,-1.41860183294691,-3.32482726773717,2.50357272187493
"1999-06-30",0.470409749842648,4.69001181643174,-2.16712056891843,-6.27370273990779,-0.846349233494844
"1999-09-30",0.508517093721572,6.10030618824027,-1.84236620272804,9.19472450356862,-0.321052261869376
"1999-12-30",0.626858171206734,-7.77674215594351,-0.113784908516124,-9.53298016798483,4.71408413292387
"2000-03-30",0.587344119507982,11.9175733526836,-2.00332952281883,-2.33083128117784,-1.88891994485326
"2000-06-30",0.732071576239601,2.93838108570368,1.57245816445029,2.6459173210819,4.15554092191031
"2000-09-30",0.734946803794667,-3.06927437626268,1.2327244369529,11.5466867172989,3.46306880839827
"2000-12-30",0.95117650255645,-2.72887406280944,1.8024740709019,2.25209878874191,-1.89720619783499
"2001-03-30",0.695393018583612,-9.08033445205394,3.51761329270879,4.60960175876313,-1.71511950023615
"2001-06-30",0.621007932811501,-14.5717673112892,2.03235190771798,-0.111165947593594,10.3750830503948
"2001-09-30",0.741728106271822,7.65893527503412,-0.0672014172717894,9.94266600823694,-0.602389222290819
"2001-12-30",0.923937616784176,-17.0278969253491,5.60115683221554,-2.65060929338681,-2.50817448418025
"2002-03-30",0.209426879820374,10.0629619984151,-1.41163221369229,4.63861168227453,4.1592867723297
"2002-06-30",-0.323918030307091,-0.582603847930407,-1.83071914975024,7.42073261200948,-0.224708475784243
"2002-09-30",-0.0711634615984558,-17.0076390194161,4.45908604762915,3.00639363554911,5.47857521068377
"2002-12-30",-0.143089360064419,-13.4708203168869,6.33248108185951,-9.17703313532572,-0.220296413856816
"2003-03-30",-0.6401275522669,3.15323760786965,-0.172745439253852,-0.433273399159528,0.100267656794227
"2003-06-30",0.480256359242759,-1.82873396105849,1.09583145085299,2.83898813694581,3.41045931461045
"2003-09-30",-0.446790386068141,13.1824864912217,1.51134576595684,10.3429864670987,0.311016603348938
"2003-12-30",-0.10403146082707,3.63514895307739,-0.724867078191505,8.81114191611321,2.32431072487321
