"","BILLm3_rr","SP00_rrx","BONDy5_rrx","REITs_rrx","TBI_rrx"
"1990-06-30",1.09351368456263,-5.48011799054269,-3.07729857035728,-6.02702630296612,7.09760458077884
"1990-09-30",0.378447532414761,4.78204600667365,0.959087817730175,-2.20830356560455,1.56178144307019
"1990-12-30",0.336881976712977,-14.3347604219472,-0.0123869110975505,-17.7447978034452,-1.33342256253409
"1991-03-30",1.2775523805197,3.66646331590808,2.61654376005191,1.10191128871202,-7.35187017468331
"1991-06-30",1.08797322558409,10.8587174617988,0.0215152694405418,18.8090954203395,-5.17004059356132
"1991-09-30",0.762110280779904,1.08175623666726,-0.353375908476306,-0.745499152724793,4.93577037617086
"1991-12-30",0.629390340534997,2.29585862780093,4.47500156796874,2.55590265724646,-5.24635577807981
"1992-03-30",0.578278929783593,6.44691106465869,4.1151824509825,3.9944996854242,4.94002652448469
"1992-06-30",0.280252091987432,-3.46654598152201,-2.70318586588782,-0.386032475549491,-0.766451702114958
"1992-09-30",0.229443129362306,1.91288402203469,3.30599894690184,1.61320105757037,-1.74296825986625
"1992-12-30",-0.0255332828465349,0.740725006356691,5.13673147516638,5.75438751556057,-13.9483910854066
"1993-03-30",0.168463558708698,4.38060065312458,-2.94011793861326,2.86084100916382,2.05234475287601
"1993-06-30",0.0717976727362846,3.17977086389831,4.10218471482207,18.7987299303686,10.1838436228123
"1993-09-30",0.340005001025112,-0.342978606044042,1.39264216711963,-3.71385205640928,5.62703894517337
"1993-12-30",-0.020083193666931,2.59808014364733,2.20316982158995,8.13157005300633,-18.2764777193132
"1994-03-30",0.360791237547531,0.711201509034254,-1.77924716399795,-8.53268022580664,8.86911537056215
"1994-06-30",0.28157743399424,-4.51872461705713,-3.36111978080522,2.49941118847312,12.8584681627458
"1994-09-30",0.174371049373079,-0.218807437915292,-2.43841471207942,0.727615323125086,-4.57652761565143
"1994-12-30",0.683324597265145,2.8830448822978,-1.14819182527119,-3.33007990537668,-11.1465413679508
"1995-03-30",0.743326670496103,-1.32214242293829,-1.56469017267939,-1.45897310632304,10.9764707097172
"1995-06-30",0.742083741557042,7.98287492560119,3.39200179147561,-1.72567675663684,-0.294035133935514
"1995-09-30",1.0047609594209,7.79734505890426,4.21824096064141,4.20721034798515,1.98067292217243
"1995-12-30",0.90581796370488,5.30509793057696,-0.290943752451334,3.15272588729743,0.216787301432344
"1996-03-30",0.549024466685655,4.8696525841522,2.16973113967507,2.62623640830881,-3.7408815308017
"1996-06-30",0.464585671439632,5.17559869138591,-2.91223985539251,0.928073867489854,7.19626091314301
"1996-09-30",0.772876607117023,2.57107336438196,-1.58754857413967,3.005332397872,0.790327771200042
"1996-12-30",0.51479853107459,1.12754613580694,0.725698073464187,4.95851815082045,4.28630054695888
"1997-03-30",0.771184767290567,6.36999467200834,0.735755356188772,15.8903963135711,-1.02877225768791
"1997-06-30",1.12978734434233,1.61768597254222,-1.92391375074221,-0.665788752128815,3.73839866470485
"1997-09-30",0.929939890643539,15.0078628003742,2.27287188513081,3.4243326466421,4.896950921754
"1997-12-30",0.887007401625528,5.98394501383446,1.75779558219329,9.74533923490766,5.6583799366284
"1998-03-30",1.24942655399334,0.512735552639487,0.598654065857041,0.27653953685558,7.80272446436943
"1998-06-30",1.04824065367106,12.2679966563323,0.323192671255068,-1.84434392757789,1.0632757443666
"1998-09-30",0.890120101945779,2.55384650278483,0.412064013548186,-6.0958608983511,-6.48916769629008
"1998-12-30",0.930047879230056,-16.2238499014804,5.37934616366726,-12.515968654998,4.96535103267867
"1999-03-30",0.953364873657048,21.0446140635907,-2.37196670660396,-4.27819214139422,1.55020784821788
"1999-06-30",0.470409749842648,4.21960206658909,-2.63753031876108,-6.74411248975044,-1.31675898333749
"1999-09-30",0.508517093721572,5.5917890945187,-2.35088329644961,8.68620740984705,-0.829569355590948
"1999-12-30",0.626858171206734,-8.40360032715024,-0.740643079722858,-10.1598383391916,4.08722596171714
"2000-03-30",0.587344119507982,11.3302292331756,-2.59067364232681,-2.91817540068582,-2.47626406436124
"2000-06-30",0.732071576239601,2.20630950946408,0.840386588210684,1.9138457448423,3.42346934567071
"2000-09-30",0.734946803794667,-3.80422118005734,0.497777633158236,10.8117399135042,2.7281220046036
"2000-12-30",0.95117650255645,-3.68005056536589,0.851297568345455,1.30092228618546,-2.84838270039144
"2001-03-30",0.695393018583612,-9.77572747063755,2.82222027412518,3.91420874017951,-2.41051251881976
"2001-06-30",0.621007932811501,-15.1927752441007,1.41134397490648,-0.732173880405096,9.7540751175833
"2001-09-30",0.741728106271822,6.9172071687623,-0.808929523543611,9.20093790196512,-1.34411732856264
"2001-12-30",0.923937616784176,-17.9518345421332,4.67721921543136,-3.57454691017098,-3.43211210096443
"2002-03-30",0.209426879820374,9.8535351185947,-1.62105909351267,4.42918480245416,3.94985989250933
"2002-06-30",-0.323918030307091,-0.258685817623316,-1.50680111944315,7.74465064231658,0.0992095545228481
"2002-09-30",-0.0711634615984558,-16.9364755578177,4.5302495092276,3.07755709714757,5.54973867228223
"2002-12-30",-0.143089360064419,-13.3277309568225,6.47557044192393,-9.0339437752613,-0.0772070537923972
"2003-03-30",-0.6401275522669,3.79336516013655,0.467382113013048,0.206854153107372,0.740395209061127
"2003-06-30",0.480256359242759,-2.30899032030125,0.615575091610232,2.35873177770305,2.93020295536769
"2003-09-30",-0.446790386068141,13.6292768772899,1.95813615202498,10.7897768531669,0.757806989417079
"2003-12-30",-0.10403146082707,3.73918041390446,-0.620835617364435,8.91517337694028,2.42834218570028
